4.525,10379.093,2.341,0.018,4.148,0.793,0,0.587
4.575,10379.093,2.341,0.018,4.145,0.789,0,0.586
4.625,10379.093,2.341,0.018,4.141,0.785,0,0.585
4.675,10379.093,2.341,0.018,4.137,0.781,0,0.584
4.725,10379.093,2.341,0.018,4.133,0.777,0,0.583
4.775,10379.093,2.341,0.018,4.13,0.773,0,0.583
4.825,10379.093,2.341,0.018,4.126,0.769,0,0.582
4.875,10379.093,2.341,0.018,4.123,0.765,0,0.581
4.925,10379.093,2.341,0.018,4.119,0.761,0,0.58
4.975,10379.093,2.341,0.018,4.116,0.757,0,0.58
5.025,10379.093,2.341,0.018,4.113,0.753,0,0.579
5.075,10379.093,2.341,0.018,4.109,0.749,0,0.578
5.125,10379.093,2.341,0.018,4.106,0.746,0,0.577
5.175,10379.093,2.341,0.018,4.103,0.742,0,0.577
5.225,10379.093,2.341,0.018,4.1,0.738,0,0.576
5.275,10379.093,2.341,0.018,4.097,0.734,0,0.575
5.325,10379.093,2.341,0.018,4.094,0.731,0,0.575
5.375,10379.093,2.341,0.018,4.091,0.727,0,0.574
5.425,10379.093,2.341,0.018,4.088,0.723,0,0.573
5.475,10379.093,2.341,0.018,4.085,0.72,0,0.572
5.525,10379.093,2.341,0.018,4.082,0.716,0,0.572
5.575,10379.093,2.341,0.018,4.079,0.713,0,0.571
5.625,10379.093,2.341,0.018,4.076,0.709,0,0.571
5.675,10379.093,2.341,0.018,4.073,0.706,0,0.57
5.725,10379.093,2.341,0.018,4.071,0.702,0,0.569
5.775,10379.093,2.341,0.018,4.068,0.699,0,0.569
5.825,10379.093,2.341,0.018,4.065,0.695,0,0.568
5.875,10379.093,2.341,0.018,4.063,0.692,0,0.567
5.925,10379.093,2.341,0.018,4.06,0.689,0,0.567
5.975,10379.093,2.341,0.018,4.058,0.685,0,0.566
6.025,10379.093,2.341,0.018,4.055,0.682,0,0.566
6.075,10379.093,2.341,0.018,4.053,0.679,0,0.565
6.125,10379.093,2.341,0.018,4.05,0.675,0,0.565
6.175,10379.093,2.341,0.018,4.048,0.672,0,0.564
6.225,10379.093,2.341,0.018,4.045,0.669,0,0.563
6.275,10379.093,2.341,0.018,4.043,0.666,0,0.563
6.325,10379.093,2.341,0.018,4.041,0.662,0,0.562
6.375,10379.093,2.341,0.018,4.039,0.659,0,0.562
6.425,10379.093,2.341,0.018,4.036,0.656,0,0.561
6.475,10379.093,2.341,0.018,4.034,0.653,0,0.561
6.525,10379.093,2.341,0.018,4.032,0.65,0,0.56
6.575,10379.093,2.341,0.018,4.03,0.647,0,0.56
6.625,10379.093,2.341,0.018,4.028,0.644,0,0.559
6.675,10379.093,2.341,0.018,4.026,0.641,0,0.559
6.725,10379.093,2.341,0.018,4.024,0.638,0,0.558
6.775,10379.093,2.341,0.018,4.021,0.635,0,0.558
6.825,10379.093,2.341,0.018,4.02,0.632,0,0.557
6.875,10379.093,2.341,0.018,4.018,0.629,0,0.557
6.925,10379.093,2.341,0.018,4.016,0.626,0,0.556
6.975,10379.093,2.341,0.018,4.014,0.623,0,0.556
7.025,10379.093,2.341,0.018,4.012,0.62,0,0.555
7.075,10379.093,2.341,0.018,4.01,0.617,0,0.555
7.125,10379.093,2.341,0.018,4.008,0.614,0,0.554
7.175,10379.093,2.341,0.018,4.007,0.611,0,0.554
7.225,10379.093,2.341,0.018,4.005,0.608,0,0.553
7.275,10379.093,2.341,0.018,4.003,0.605,0,0.553
7.325,10379.093,2.341,0.018,4.001,0.602,0,0.553
7.375,10379.093,2.341,0.018,4,0.6,0,0.552
7.425,10379.093,2.341,0.018,3.998,0.597,0,0.552
7.475,10379.093,2.341,0.018,3.996,0.594,0,0.551
7.525,10379.093,2.341,0.018,3.995,0.591,0,0.551
7.575,10379.093,2.341,0.018,3.993,0.588,0,0.55
7.625,10379.093,2.341,0.018,3.992,0.586,0,0.55
7.675,10379.093,2.341,0.018,3.99,0.583,0,0.55
7.725,10379.093,2.341,0.018,3.989,0.58,0,0.549
7.775,10379.093,2.341,0.018,3.987,0.578,0,0.549
7.825,10379.093,2.341,0.018,3.986,0.575,0,0.548
7.875,10379.093,2.341,0.018,3.985,0.572,0,0.548
7.925,10379.093,2.341,0.018,3.983,0.57,0,0.548
7.975,10379.093,2.341,0.018,3.981,0.567,0,0.547
8.025,10379.093,2.341,0.018,3.98,0.564,0,0.547
8.075,10379.093,2.341,0.018,3.979,0.562,0,0.546
8.125,10379.093,2.341,0.018,3.977,0.559,0,0.546
8.175,10379.093,2.341,0.018,3.976,0.556,0,0.546
8.225,10379.093,2.341,0.018,3.975,0.554,0,0.545
8.275,10379.093,2.341,0.018,3.974,0.551,0,0.545
8.325,10379.093,2.341,0.018,3.972,0.549,0,0.545
8.375,10379.093,2.341,0.018,3.971,0.546,0,0.544
8.425,10379.093,2.341,0.018,3.97,0.544,0,0.544
8.475,10379.093,2.341,0.018,3.969,0.541,0,0.544
8.525,10379.093,2.341,0.018,3.968,0.539,0,0.543
8.575,10379.093,2.341,0.018,3.967,0.536,0,0.543
8.625,10379.093,2.341,0.018,3.966,0.534,0,0.542
8.675,10379.093,2.341,0.018,3.964,0.531,0,0.542
8.725,10379.093,2.341,0.018,3.963,0.529,0,0.542
8.775,10379.093,2.341,0.018,3.962,0.526,0,0.541
8.825,10379.093,2.341,0.018,3.962,0.524,0,0.541
8.875,10379.093,2.341,0.018,3.96,0.521,0,0.541
8.925,10379.093,2.341,0.018,3.959,0.519,0,0.541
8.975,10379.093,2.341,0.018,3.959,0.516,0,0.54
9.025,10379.093,2.341,0.018,3.958,0.514,0,0.54
9.075,10379.093,2.341,0.018,3.956,0.512,0,0.54
9.125,10379.093,2.341,0.018,3.955,0.509,0,0.539
9.175,10379.093,2.341,0.018,3.955,0.507,0,0.539
9.225,10379.093,2.341,0.018,3.954,0.504,0,0.539
9.275,10379.093,2.341,0.018,3.953,0.502,0,0.538
9.325,10379.093,2.341,0.018,3.952,0.5,0,0.538
